,Date,MarketPrice
920,2016-11-08,2139.56
921,2016-11-09,2163.26
922,2016-11-10,2167.48
923,2016-11-11,2164.45
924,2016-11-14,2164.2
925,2016-11-15,2180.39
926,2016-11-16,2176.94
927,2016-11-17,2187.12
928,2016-11-18,2181.9
929,2016-11-21,2198.18
930,2016-11-22,2202.94
931,2016-11-23,2204.72
932,2016-11-24,
933,2016-11-25,2213.35
934,2016-11-28,2201.72
935,2016-11-29,2204.66
936,2016-11-30,2198.81
937,2016-12-01,2191.08
938,2016-12-02,2191.95
939,2016-12-05,2204.71
940,2016-12-06,2212.23
941,2016-12-07,2241.35
942,2016-12-08,2246.19
943,2016-12-09,2259.53
944,2016-12-12,2256.96
945,2016-12-13,2271.72
946,2016-12-14,2253.28
947,2016-12-15,2262.03
948,2016-12-16,2258.07
949,2016-12-19,2262.53
950,2016-12-20,2270.76
951,2016-12-21,2265.18
952,2016-12-22,2260.96
953,2016-12-23,2263.79
954,2016-12-26,
955,2016-12-27,2268.88
956,2016-12-28,2249.92
957,2016-12-29,2249.26
958,2016-12-30,2238.83
959,2017-01-02,
960,2017-01-03,2257.83
961,2017-01-04,2270.75
962,2017-01-05,2269.0
963,2017-01-06,2276.98
964,2017-01-09,2268.9
965,2017-01-10,2268.9
966,2017-01-11,2275.32
967,2017-01-12,2270.44
968,2017-01-13,2274.64
969,2017-01-16,
970,2017-01-17,2267.89
971,2017-01-18,2271.89
972,2017-01-19,2263.69
973,2017-01-20,2271.31
974,2017-01-23,2265.2
975,2017-01-24,2280.07
976,2017-01-25,2298.37
977,2017-01-26,2296.68
978,2017-01-27,2294.69
979,2017-01-30,2280.9
980,2017-01-31,2278.87
981,2017-02-01,2279.55
982,2017-02-02,2280.85
983,2017-02-03,2297.42
984,2017-02-06,2292.56
985,2017-02-07,2293.08
986,2017-02-08,2294.67
987,2017-02-09,2307.87
988,2017-02-10,2316.1
989,2017-02-13,2328.25
990,2017-02-14,2337.58
991,2017-02-15,2349.25
992,2017-02-16,2347.22
